,지역,총계,법인,개인사업자,일반사업자,간이사업자,면세사업자
0,서울 ,"316,610 ","41,303 ","275,307 ","130,904 ","70,012 ","74,391 "
1, 강남구,"31,689 ","8,448 ","23,241 ","12,472 ","2,995 ","7,774 "
2, 강동구,"11,738 ",806 ,"10,932 ","4,685 ","3,333 ","2,914 "
3, 강북구,"6,985 ",391 ,"6,594 ","2,861 ","2,312 ","1,421 "
4, 강서구,"18,076 ","1,924 ","16,152 ","7,437 ","4,490 ","4,225 "
5, 관악구,"12,371 ",665 ,"11,706 ","4,721 ","4,191 ","2,794 "
6, 광진구,"9,540 ",768 ,"8,772 ","3,658 ","2,823 ","2,291 "
7, 구로구,"12,227 ","1,793 ","10,434 ","4,956 ","2,839 ","2,639 "
8, 금천구,"10,760 ","2,210 ","8,550 ","5,230 ","1,814 ","1,506 "
9, 노원구,"10,681 ",470 ,"10,211 ","3,642 ","3,313 ","3,256 "
10, 도봉구,"6,344 ",293 ,"6,051 ","2,352 ","2,090 ","1,609 "
11, 동대문구,"12,274 ",681 ,"11,593 ","6,301 ","2,793 ","2,499 "
12, 동작구,"8,523 ",486 ,"8,037 ","2,966 ","2,341 ","2,730 "
13, 마포구,"15,848 ","2,178 ","13,670 ","6,114 ","3,974 ","3,582 "
14, 서대문구,"7,987 ",708 ,"7,279 ","3,156 ","2,162 ","1,961 "
15, 서초구,"20,520 ","3,983 ","16,537 ","8,526 ","2,322 ","5,689 "
16, 성동구,"10,662 ","1,661 ","9,001 ","4,143 ","2,354 ","2,504 "
17, 성북구,"9,259 ",516 ,"8,743 ","3,463 ","2,931 ","2,349 "
18, 송파구,"22,162 ","2,658 ","19,504 ","8,780 ","4,401 ","6,323 "
19, 양천구,"10,143 ",600 ,"9,543 ","3,829 ","2,589 ","3,125 "
20, 영등포구,"19,207 ","5,114 ","14,093 ","7,926 ","2,742 ","3,425 "
21, 용산구,"9,385 ","1,085 ","8,300 ","3,754 ","1,833 ","2,713 "
22, 은평구,"10,484 ",556 ,"9,928 ","3,798 ","3,494 ","2,636 "
23, 종로구,"9,313 ","1,297 ","8,016 ","5,142 ","1,442 ","1,432 "
24, 중구,"10,966 ","1,611 ","9,355 ","6,678 ","1,375 ","1,302 "
25, 중랑구,"9,466 ",401 ,"9,065 ","4,314 ","3,059 ","1,692 "
