book_title,book_author,book_translator,book_pub_date,book_isbn
"STEM CookBook, 문제 해결력을 키우는 기계설계",이상범 ,,2022-08-05,9791156646150
[두뇌 게임 시리즈 2] 어른을 위한 두뇌 놀이 책(플러스),개러스 무어 박사 ,정아림 ,2022-08-01,9791190846455
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",배지은 ,2014-01-02,9788968480737
레 미제라블,"빅토르 위고 , SunNeKo Lee (그림) , Crystal S. Chan (각색) ",정미선 ,2022-08-05,9791157845989
Make: 라즈베리 파이 로봇,볼프람 도낫 ,이하영 ,2015-08-27,9788968482144
일상 무기 제작법 2 : 생활용품으로 첩보 무기 만들기,존 오스틴 ,정향 ,2015-12-01,9788968482328
일상 무기 제작법 3 : 생활용품으로 중세의 공성 무기 만들기,존 오스틴 ,정향 ,2016-02-19,9788968482472
AWS 비용 최적화 바이블,"엘리 만수르 , 야이르 그린 ","강전희 , 정태환 ",2022-08-17,9791169210058
"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준 ,,2018-07-15,9791162240793
메이커 매뉴얼,"안드레아 마이에타 , 파올로 알리베르티 ",남기혁 ,2016-07-01,9788968482885
Make: 센서,"테로 카르비넨 , 키모 카르비넨 , 빌리 발토카리 ","지영민 , 남기혁 ",2015-09-28,9788968482205
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",임지순 ,2015-02-25,9788968481697
일상 무기 제작법 1 : 생활용품으로 전투 무기 만들기,존 오스틴 ,정향 ,2015-10-06,9788968482151
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,윤진서 ,2014-05-20,9788968481000
프로젝트로 배우는 라즈베리 파이,도날드 노리스 ,임지순 ,2015-04-24,9788968481888
핸드메이드 일렉트로닉 뮤직,니콜라스 콜린스 ,임지순 ,2016-03-04,9788968482632
Maker Pro : 메이커 프로,존 베이첼 ,정향 ,2015-07-28,9788968482038
Make: Technology on Your Time Volume 01,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-05-09,9788979147728
혼자 공부하는 R 데이터 분석,"강전희 , 엄동란 ",,2022-01-17,9791162245019
아이와 함께 할 수 있는 50가지 위험한 실험,"게버 털리 , 줄리 스피글러 ",c: operated ,2013-04-21,9788968480089
“사랑해”를 쓰는 40가지 방법,라나 휴즈(Lana Hughes) ,정아림 ,2018-08-27,9791188007172
3D 프린팅을 위한 스케치업,리디아 클라인 ,민혜기 ,2017-05-01,9788968483578
전자부품 백과사전 vol.1 : 전력 전원 및 변환,찰스 플랫 ,배지은 ,2014-12-26,9788968481505
Zero to Maker: 누구나 메이커가 될 수 있다,데이비드 랭 ,장재웅 ,2015-02-27,9788968481710
이더리움 블록체인 게임 개발,"키더 아이어 , 크리스 대넌 ",임지순 ,2019-09-02,9791162242186
전자부품 백과사전 vol.2 : 신호 처리,찰스 플랫 ,"배지은 , 이하영 ",2015-12-01,9788968482373
회사에서 바로 통하는 엑셀&파워포인트 2010,"이희정 , 전미진 ",,2010-09-16,9788979147636
긱 아틀라스: 과학과 기술의 발상지 129곳,존 그레이엄-커밍 ,윤진서 ,2015-07-28,9788968482052
초소형 머신러닝 TinyML,"피트 워든 , 대니얼 시투나야케 ","맹윤호 , 임지순 ",2020-08-20,9791162243411
Make : Technology on Your Time Volume 06,메이커 미디어 ,한빛미디어 / Make ,2013-05-21,9788968480188
Make : Technology on Your Time Volume 07,메이커 미디어 ,한빛미디어 / Make ,2013-12-28,9788968480669
회사에서 바로 통하는 파워포인트 2010,"이상훈 , 김연희 ",,2011-05-03,9788979148015
회사에서 바로 통하는 엑셀 2010,한은숙 ,,2011-03-23,9788979147865
파워포인트 블루스,김용석 ,,2009-05-21,9788979146653
좋은 사진을 만드는 김주원의 포토샵 사진 강의,김주원 ,,2012-05-14,9788979149265
엑셀 2010 바이블,최준선 ,,2011-09-28,9788979148541
뽀얀의 감성 일러스트레이션 : 포토샵과 일러스트레이터를 이용한 손 느낌 나는 일러스트 기법,뽀얀(김은혜) ,,2012-10-28,9788979149661
라즈베리 파이 쿡북,사이먼 몽크 ,"박경욱 , 백운혁 , 유시형 , 윤종우 ",2014-12-26,9788968481536
회사에서 바로 통하는 일러스트레이터 CS5,박혜진(삐딱대가리) ,,2011-04-28,9788979148244
회사에서 바로 통하는 엑셀 2010 함수 이해&활용,최준선 ,,2012-09-17,9788979149630
3D 프린터 101,"안상준 , 정재학 ",,2017-03-02,9788968483424
회사에서 바로 통하는 엑셀&파워포인트 2016,"전미진 , 이화진 ",,2017-07-07,9788968483332
회사에서 바로 통하는 엑셀 실무 데이터 분석,최준선 ,,2012-11-20,9788979149807
