book_title,book_author,book_translator,book_pub_date,book_isbn
이것이 자바다(개정판),"신용권 , 임경균 ",,2022-09-05,9791169210027
헤드 퍼스트 디자인 패턴(개정판),"에릭 프리먼 , 엘리자베스 롭슨 ",서환수 ,2022-03-16,9791162245262
도메인 주도 개발 시작하기,최범균 ,,2022-03-21,9791162245385
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원 ,,2022-05-02,9791162245569
동시성 프로그래밍,다카노 유키 ,김모세 ,2022-04-05,9791162245422
완성된 웹사이트로 배우는 HTML&CSS 웹 디자인,Mana ,신은화 ,2022-05-10,9791162245606
엑셀이 편해지는 파이썬,펠릭스 춤슈타인 ,한선용 ,2022-04-20,9791162245545
소문난 명강의 : 소플의 처음 만난 리액트,이인제 ,,2022-05-31,9791162245682
혼자 공부하는 얄팍한 코딩 지식,고현민 ,,2022-05-25,9791162245552
똑똑한 코드 작성을 위한 실전 알고리즘,조지 하이네만 ,윤대석 ,2022-05-20,9791162245644
유연한 소프트웨어를 만드는 설계 원칙,"크리스 핸슨 , 제럴드 제이 서스먼 ",류광 ,2022-03-30,9791162245408
이것이 자료구조+알고리즘이다 with C 언어,박상현 ,,2022-08-03,9791169210034
혼자 공부하는파이썬(개정판),윤인성 ,,2022-06-01,9791162245651
혼자 공부하는 컴퓨터 구조+운영체제,강민철 ,,2022-08-16,9791162243091
오늘부터 IT를 시작합니다,고코더(이진현) ,,2022-08-12,9791169210065
클라우드 네이티브 애플리케이션 디자인 패턴,"카순 인드라시리 , 스리스칸다라자 수호티얀 ",박수현 ,2022-06-02,9791162245675
파이썬을 활용한 베이지안 통계(2판),앨런 B. 다우니 ,권정민 ,2022-06-30,9791162245736
코드로 인프라 관리하기(2판),키프 모리스 ,이동규 ,2022-08-29,9791169210119
구글 엔지니어는 이렇게 일한다,"타이터스 윈터스 , 톰 맨쉬렉 , 하이럼 라이트 ",개앞맵시(이복연) ,2022-05-10,9791162245620
파이썬을 활용한 금융 분석(2판),이브 힐피시 ,김도형 ,2022-03-31,9791162245170
